Gene,Ensembl,Gene description,Uniprot,Pathology prognostics - Pancreatic cancer,TAU score - Tissue
HAS3,ENSG00000103044,Hyaluronan synthase 3,['O00219'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.36e-4'}",0.72
MTDH,ENSG00000147649,Metadherin,['Q86UE4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.36e-4'}",0.20
CHRAC1,ENSG00000104472,Chromatin accessibility complex subunit 1,['Q9NRG0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.43e-4'}",0.19
SERPINB4,ENSG00000206073,Serpin family B member 4,['P48594'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.48e-4'}",0.87
ADIPOR1,ENSG00000159346,Adiponectin receptor 1,['Q96A54'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.50e-4'}",0.20
POLR1B,ENSG00000125630,RNA polymerase I subunit B,['Q9H9Y6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.52e-4'}",0.26
ADGRF4,ENSG00000153294,Adhesion G protein-coupled receptor F4,['Q8IZF3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.52e-4'}",0.84
PRSS23,ENSG00000150687,Serine protease 23,['O95084'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.56e-4'}",0.35
SINHCAF,ENSG00000139146,SIN3-HDAC complex associated factor,['Q9NP50'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.57e-4'}",0.26
CD58,ENSG00000116815,CD58 molecule,['P19256'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.60e-4'}",0.34
GINS1,ENSG00000101003,GINS complex subunit 1,['Q14691'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.62e-4'}",0.65
ACTN4,ENSG00000130402,Actinin alpha 4,['O43707'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.65e-4'}",0.18
AJUBA,ENSG00000129474,Ajuba LIM protein,['Q96IF1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.67e-4'}",0.49
ESYT2,ENSG00000117868,Extended synaptotagmin 2,['A0FGR8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.73e-4'}",0.13
DDX10,ENSG00000178105,DEAD-box helicase 10,['Q13206'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.75e-4'}",0.25
STAMBP,ENSG00000124356,STAM binding protein,['O95630'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.79e-4'}",0.33
CSNK1A1,ENSG00000113712,Casein kinase 1 alpha 1,['P48729'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.79e-4'}",0.20
STK24,ENSG00000102572,Serine/threonine kinase 24,['Q9Y6E0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.81e-4'}",0.21
EDN2,ENSG00000127129,Endothelin 2,['P20800'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.81e-4'}",0.70
STK38L,ENSG00000211455,Serine/threonine kinase 38 like,['Q9Y2H1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.82e-4'}",0.28
MRPL39,ENSG00000154719,Mitochondrial ribosomal protein L39,['Q9NYK5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.84e-4'}",0.23
KCNK5,ENSG00000164626,Potassium two pore domain channel subfamily K member 5,['O95279'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.85e-4'}",0.55
BCL2L1,ENSG00000171552,BCL2 like 1,['Q07817'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.87e-4'}",0.17
FRMD5,ENSG00000171877,FERM domain containing 5,['Q7Z6J6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.89e-4'}",0.84
GPSM2,ENSG00000121957,G protein signaling modulator 2,['P81274'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.89e-4'}",0.47
SPP1,ENSG00000118785,Secreted phosphoprotein 1,['P10451'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.89e-4'}",0.55
MAP3K5,ENSG00000197442,Mitogen-activated protein kinase kinase kinase 5,['Q99683'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.91e-4'}",0.46
DEFB1,ENSG00000164825,Defensin beta 1,['P60022'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.94e-4'}",0.64
CASP14,ENSG00000105141,Caspase 14,['P31944'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '5.96e-4'}",0.93
SLC44A2,ENSG00000129353,Solute carrier family 44 member 2,['Q8IWA5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.01e-4'}",0.20
UNC13D,ENSG00000092929,Unc-13 homolog D,['Q70J99'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.01e-4'}",0.46
SFN,ENSG00000175793,Stratifin,['P31947'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.01e-4'}",0.69
SPTLC3,ENSG00000172296,Serine palmitoyltransferase long chain base subunit 3,['Q9NUV7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.02e-4'}",0.41
ALDH3B1,ENSG00000006534,Aldehyde dehydrogenase 3 family member B1,['P43353'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.07e-4'}",0.46
PDZD8,ENSG00000165650,PDZ domain containing 8,['Q8NEN9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.10e-4'}",0.48
AURKA,ENSG00000087586,Aurora kinase A,['O14965'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.13e-4'}",0.59
CKS1B,ENSG00000173207,CDC28 protein kinase regulatory subunit 1B,['P61024'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.13e-4'}",0.25
ANKRD22,ENSG00000152766,Ankyrin repeat domain 22,['Q5VYY1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.15e-4'}",0.72
HTATIP2,ENSG00000109854,HIV-1 Tat interactive protein 2,['Q9BUP3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.18e-4'}",0.31
PRR11,ENSG00000068489,Proline rich 11,['Q96HE9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.18e-4'}",0.70
EXOC4,ENSG00000131558,Exocyst complex component 4,['Q96A65'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.19e-4'}",0.26
GRHL2,ENSG00000083307,Grainyhead like transcription factor 2,['Q6ISB3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.27e-4'}",0.58
DPYD,ENSG00000188641,Dihydropyrimidine dehydrogenase,['Q12882'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.27e-4'}",0.40
NUSAP1,ENSG00000137804,Nucleolar and spindle associated protein 1,['Q9BXS6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.27e-4'}",0.72
RALA,ENSG00000006451,RAS like proto-oncogene A,['P11233'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.30e-4'}",0.22
TMEM184C,ENSG00000164168,Transmembrane protein 184C,['Q9NVA4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.37e-4'}",0.44
ITGB4,ENSG00000132470,Integrin subunit beta 4,['P16144'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.39e-4'}",0.40
AK2,ENSG00000004455,Adenylate kinase 2,['P54819'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.40e-4'}",0.16
MGLL,ENSG00000074416,Monoglyceride lipase,['Q99685'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.41e-4'}",0.34
LIPM,ENSG00000173239,Lipase family member M,['Q5VYY2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.47e-4'}",0.95
TGIF1,ENSG00000177426,TGFB induced factor homeobox 1,['Q15583'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.47e-4'}",0.22
ST6GALNAC2,ENSG00000070731,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",['Q9UJ37'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.48e-4'}",0.54
RNF223,ENSG00000237330,Ring finger protein 223,['E7ERA6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.53e-4'}",0.86
DARS1,ENSG00000115866,Aspartyl-tRNA synthetase 1,['P14868'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.54e-4'}",0.18
ZDHHC20,ENSG00000180776,Zinc finger DHHC-type palmitoyltransferase 20,['Q5W0Z9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.55e-4'}",0.30
PBK,ENSG00000168078,PDZ binding kinase,['Q96KB5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.56e-4'}",0.80
C16orf87,ENSG00000155330,Chromosome 16 open reading frame 87,['Q6PH81'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.57e-4'}",0.44
MUCL3,ENSG00000168631,Mucin like 3,['Q3MIW9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.58e-4'}",0.95
FERMT1,ENSG00000101311,FERM domain containing kindlin 1,['Q9BQL6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.60e-4'}",0.66
PICALM,ENSG00000073921,Phosphatidylinositol binding clathrin assembly protein,['Q13492'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.61e-4'}",0.13
ARHGAP32,ENSG00000134909,Rho GTPase activating protein 32,['A7KAX9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.64e-4'}",0.37
MSLN,ENSG00000102854,Mesothelin,['Q13421'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.66e-4'}",0.71
CDCA4,ENSG00000170779,Cell division cycle associated 4,['Q9BXL8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.67e-4'}",0.60
DCLRE1B,ENSG00000118655,DNA cross-link repair 1B,['Q9H816'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.70e-4'}",0.43
SLAIN2,ENSG00000109171,SLAIN motif family member 2,['Q9P270'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.71e-4'}",0.32
ARL14,ENSG00000179674,ADP ribosylation factor like GTPase 14,['Q8N4G2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.71e-4'}",0.87
PPTC7,ENSG00000196850,Protein phosphatase targeting COQ7,['Q8NI37'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.76e-4'}",0.42
PPP1R14B,ENSG00000173457,Protein phosphatase 1 regulatory inhibitor subunit 14B,['Q96C90'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.77e-4'}",0.26
LHB,ENSG00000104826,Luteinizing hormone subunit beta,['P01229'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.78e-4'}",0.92
RTP4,ENSG00000136514,Receptor transporter protein 4,['Q96DX8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.83e-4'}",0.41
CKS2,ENSG00000123975,CDC28 protein kinase regulatory subunit 2,['P33552'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.85e-4'}",0.43
IL1RN,ENSG00000136689,Interleukin 1 receptor antagonist,['P18510'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.85e-4'}",0.66
KIF2C,ENSG00000142945,Kinesin family member 2C,['Q99661'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.86e-4'}",0.75
LRRC59,ENSG00000108829,Leucine rich repeat containing 59,['Q96AG4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.87e-4'}",0.23
OCIAD2,ENSG00000145247,OCIA domain containing 2,['Q56VL3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.89e-4'}",0.37
PI3,ENSG00000124102,Peptidase inhibitor 3,['P19957'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.89e-4'}",0.72
GRB7,ENSG00000141738,Growth factor receptor bound protein 7,['Q14451'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.90e-4'}",0.51
UBE2C,ENSG00000175063,Ubiquitin conjugating enzyme E2 C,['O00762'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.91e-4'}",0.66
NUDCD1,ENSG00000120526,NudC domain containing 1,['Q96RS6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.94e-4'}",0.28
EHF,ENSG00000135373,ETS homologous factor,['Q9NZC4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.94e-4'}",0.55
MTHFD1,ENSG00000100714,"Methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1",['P11586'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '6.96e-4'}",0.49
CRCT1,ENSG00000169509,Cysteine rich C-terminal 1,['Q9UGL9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.03e-4'}",0.86
HMGB2,ENSG00000164104,High mobility group box 2,['P26583'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.04e-4'}",0.45
HBEGF,ENSG00000113070,Heparin binding EGF like growth factor,['Q99075'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.09e-4'}",0.41
SMNDC1,ENSG00000119953,Survival motor neuron domain containing 1,['O75940'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.20e-4'}",0.24
EARS2,ENSG00000103356,"Glutamyl-tRNA synthetase 2, mitochondrial",['Q5JPH6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.20e-4'}",0.37
XKR9,ENSG00000221947,XK related 9,['Q5GH70'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.20e-4'}",0.77
SLC10A3,ENSG00000126903,Solute carrier family 10 member 3,['P09131'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.22e-4'}",0.22
RBMXL1,ENSG00000213516,RBMX like 1,['Q96E39'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.26e-4'}",0.26
PUDP,ENSG00000130021,Pseudouridine 5'-phosphatase,['Q08623'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.27e-4'}",0.33
KCNK1,ENSG00000135750,Potassium two pore domain channel subfamily K member 1,['O00180'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.29e-4'}",0.52
FXR1,ENSG00000114416,FMR1 autosomal homolog 1,['P51114'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.30e-4'}",0.44
CXorf38,ENSG00000185753,Chromosome X open reading frame 38,['Q8TB03'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.30e-4'}",0.28
RFC4,ENSG00000163918,Replication factor C subunit 4,['P35249'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.38e-4'}",0.36
CHMP3,ENSG00000115561,Charged multivesicular body protein 3,['Q9Y3E7'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.39e-4'}",0.13
SPATS2L,ENSG00000196141,Spermatogenesis associated serine rich 2 like,['Q9NUQ6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.43e-4'}",0.23
YWHAG,ENSG00000170027,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma,['P61981'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.44e-4'}",0.32
EMP1,ENSG00000134531,Epithelial membrane protein 1,['P54849'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.46e-4'}",0.45
CDKN3,ENSG00000100526,Cyclin dependent kinase inhibitor 3,['Q16667'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.46e-4'}",0.71
NSD3,ENSG00000147548,Nuclear receptor binding SET domain protein 3,['Q9BZ95'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.48e-4'}",0.25
IL11,ENSG00000095752,Interleukin 11,['P20809'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.50e-4'}",0.69
MCM8,ENSG00000125885,Minichromosome maintenance 8 homologous recombination repair factor,['Q9UJA3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.50e-4'}",0.47
GPR39,ENSG00000183840,G protein-coupled receptor 39,['O43194'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.50e-4'}",0.65
NLN,ENSG00000123213,Neurolysin,['Q9BYT8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.51e-4'}",0.48
FAM83B,ENSG00000168143,Family with sequence similarity 83 member B,['Q5T0W9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.60e-4'}",0.74
KIAA1217,ENSG00000120549,KIAA1217,['Q5T5P2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.63e-4'}",0.40
PIGA,ENSG00000165195,Phosphatidylinositol glycan anchor biosynthesis class A,['P37287'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.64e-4'}",0.43
TMC7,ENSG00000170537,Transmembrane channel like 7,['Q7Z402'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.64e-4'}",0.71
GALNT7,ENSG00000109586,Polypeptide N-acetylgalactosaminyltransferase 7,['Q86SF2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.65e-4'}",0.41
FAM149B1,ENSG00000138286,Family with sequence similarity 149 member B1,['Q96BN6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.81e-4'}",0.22
KLK6,ENSG00000167755,Kallikrein related peptidase 6,['Q92876'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.82e-4'}",0.82
SNAI2,ENSG00000019549,Snail family transcriptional repressor 2,['O43623'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.83e-4'}",0.36
OSBPL3,ENSG00000070882,Oxysterol binding protein like 3,['Q9H4L5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.88e-4'}",0.42
VANGL1,ENSG00000173218,VANGL planar cell polarity protein 1,['Q8TAA9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.89e-4'}",0.36
MYO1E,ENSG00000157483,Myosin IE,['Q12965'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '7.99e-4'}",0.23
CTNNA1,ENSG00000044115,Catenin alpha 1,['P35221'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.02e-4'}",0.13
COPB1,ENSG00000129083,COPI coat complex subunit beta 1,['P53618'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.04e-4'}",0.09
RNF169,ENSG00000166439,Ring finger protein 169,['Q8NCN4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.04e-4'}",0.35
CEBPZ,ENSG00000115816,CCAAT enhancer binding protein zeta,['Q03701'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.13e-4'}",0.17
ITPRID2,ENSG00000138434,ITPR interacting domain containing 2,['P28290'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.19e-4'}",0.32
PPFIA1,ENSG00000131626,PTPRF interacting protein alpha 1,['Q13136'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.26e-4'}",0.17
NET1,ENSG00000173848,Neuroepithelial cell transforming 1,['Q7Z628'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.27e-4'}",0.22
RNF168,ENSG00000163961,Ring finger protein 168,['Q8IYW5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.31e-4'}",0.35
CDCA8,ENSG00000134690,Cell division cycle associated 8,['Q53HL2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.32e-4'}",0.70
CAB39,ENSG00000135932,Calcium binding protein 39,['Q9Y376'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.33e-4'}",0.30
PGK1,ENSG00000102144,Phosphoglycerate kinase 1,['P00558'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.34e-4'}",0.23
AGPS,ENSG00000018510,Alkylglycerone phosphate synthase,['O00116'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.35e-4'}",0.21
DNAJC13,ENSG00000138246,DnaJ heat shock protein family (Hsp40) member C13,['O75165'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.36e-4'}",0.14
PARD6B,ENSG00000124171,Par-6 family cell polarity regulator beta,['Q9BYG5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.38e-4'}",0.57
CDH3,ENSG00000062038,Cadherin 3,['P22223'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.43e-4'}",0.62
TMEM144,ENSG00000164124,Transmembrane protein 144,['Q7Z5S9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.48e-4'}",0.60
NCAPG2,ENSG00000146918,Non-SMC condensin II complex subunit G2,['Q86XI2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.50e-4'}",0.52
MXD1,ENSG00000059728,MAX dimerization protein 1,['Q05195'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.50e-4'}",0.53
ELOVL1,ENSG00000066322,ELOVL fatty acid elongase 1,['Q9BW60'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.51e-4'}",0.33
CCNG2,ENSG00000138764,Cyclin G2,['Q16589'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.57e-4'}",0.28
UBE2K,ENSG00000078140,Ubiquitin conjugating enzyme E2 K,['P61086'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.60e-4'}",0.21
HMGA1,ENSG00000137309,High mobility group AT-hook 1,['P17096'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.71e-4'}",0.34
BHLHE40,ENSG00000134107,Basic helix-loop-helix family member e40,['O14503'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.74e-4'}",0.23
WDR3,ENSG00000065183,WD repeat domain 3,['Q9UNX4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.82e-4'}",0.23
ZBED2,ENSG00000177494,Zinc finger BED-type containing 2,['Q9BTP6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.83e-4'}",0.84
ENDOD1,ENSG00000149218,Endonuclease domain containing 1,['O94919'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.86e-4'}",0.27
SF3B6,ENSG00000115128,Splicing factor 3b subunit 6,['Q9Y3B4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.92e-4'}",0.16
U2SURP,ENSG00000163714,U2 snRNP associated SURP domain containing,['O15042'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.92e-4'}",0.24
CDC45,ENSG00000093009,Cell division cycle 45,['O75419'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.94e-4'}",0.76
DTX3L,ENSG00000163840,Deltex E3 ubiquitin ligase 3L,['Q8TDB6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '8.99e-4'}",0.30
H2BC4,ENSG00000180596,H2B clustered histone 4,['P62807'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.01e-4'}",0.45
SRI,ENSG00000075142,Sorcin,['P30626'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.03e-4'}",0.31
LOXL2,ENSG00000134013,Lysyl oxidase like 2,['Q9Y4K0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.05e-4'}",0.46
MED15,ENSG00000099917,Mediator complex subunit 15,['Q96RN5'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.09e-4'}",0.21
DR1,ENSG00000117505,Down-regulator of transcription 1,['Q01658'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.11e-4'}",0.24
MBOAT1,ENSG00000172197,Membrane bound O-acyltransferase domain containing 1,['Q6ZNC8'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.15e-4'}",0.36
ARMC1,ENSG00000104442,Armadillo repeat containing 1,['Q9NVT9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.15e-4'}",0.13
ERBB2,ENSG00000141736,Erb-b2 receptor tyrosine kinase 2,['P04626'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.17e-4'}",0.26
CIP2A,ENSG00000163507,Cellular inhibitor of PP2A,['Q8TCG1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.18e-4'}",0.62
OASL,ENSG00000135114,2'-5'-oligoadenylate synthetase like,['Q15646'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.20e-4'}",0.70
GFM1,ENSG00000168827,G elongation factor mitochondrial 1,['Q96RP9'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.20e-4'}",0.23
WDHD1,ENSG00000198554,WD repeat and HMG-box DNA binding protein 1,['O75717'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.24e-4'}",0.59
CYP4F11,ENSG00000171903,Cytochrome P450 family 4 subfamily F member 11,['Q9HBI6'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.28e-4'}",0.73
EI24,ENSG00000149547,EI24 autophagy associated transmembrane protein,['O14681'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.28e-4'}",0.34
ARHGAP42,ENSG00000165895,Rho GTPase activating protein 42,['A6NI28'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.29e-4'}",0.52
EPB41L1,ENSG00000088367,Erythrocyte membrane protein band 4.1 like 1,['Q9H4G0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.30e-4'}",0.30
XRN1,ENSG00000114127,5'-3' exoribonuclease 1,['Q8IZH2'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.43e-4'}",0.28
TNFSF10,ENSG00000121858,TNF superfamily member 10,['P50591'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.43e-4'}",0.30
